Precinct,2016 Primary,2016 General,2018 Primary,2018 General
001-001,2,2,2,2
001-002,1,1,2,2
001-003,2,1,2,2
001-004,1,1,1,1
001-005,1,1,1,1
002-001,3,2,2,2
002-002,1,2,2,2
002-003,1,1,2,1
003-001,2,2,3,3
003-002,3,3,3,3
003-003,2,1,2,2
004-001,3,3,3,2
004-002,1,1,2,1
004-003,3,3,3,3
005-001,3,2,3,3
005-002,3,3,3,3
006-001,2,2,3,3
006-002,3,3,3,3
006-003,3,3,3,3
006-004,3,2,2,2
006-005,1,1,1,1
007-001,3,3,3,3
007-002,3,3,3,3
007-003,2,2,2,2
007-004,2,2,2,3
008-001,3,3,3,3
008-002,2,2,3,3
008-003,2,2,3,3
008-004,3,3,3,3
008-005,2,2,2,3
008-006,2,2,2,2
008-007,2,2,2,3
008-008,3,3,2,2
008-009,3,3,3,3
008-010,1,1,1,1
008-011,3,3,3,3
009-001,3,3,3,3
009-002,3,2,3,3
009-003,2,2,2,2
009-004,1,1,1,1
009-005,1,1,1,2
009-006,1,1,1,1
009-007,2,2,2,2
009-008,2,2,3,3
009-009,3,2,3,3
009-010,2,2,2,3
009-011,3,3,3,3
009-012,2,2,3,3
009-013,3,3,3,3
009-014,2,2,3,3
009-015,2,2,2,3
010-001,3,2,3,3
010-002,2,2,2,3
010-003,3,3,3,3
010-004,3,2,3,3
011-001,1,1,2,2
011-002,3,3,3,3
011-003,1,1,2,2
011-004,3,3,3,3
011-005,2,2,2,2
011-006,1,1,1,1
011-007,1,1,2,2
012-001,1,1,1,1
012-002,3,3,3,3
012-003,3,3,2,2
012-004,1,2,2,2
012-005,3,2,2,2
012-006,3,2,2,2
012-007,2,2,2,2
012-008,1,2,1,2
012-009,2,2,2,2
012-010,2,2,2,2
012-011,3,2,3,3
012-012,2,2,2,2
013-001,1,2,1,2
013-002,2,2,2,2
013-003,1,1,1,1
013-004,2,2,2,2
013-005,3,3,2,2
013-006,3,3,3,3
013-007,2,2,2,3
013-008,2,2,2,2
013-009,2,2,2,3
013-010,2,2,2,2
013-011,1,1,1,1
013-012,1,1,2,2
013-013,3,3,3,3
014-001,3,3,2,2
014-002,3,3,2,3
014-003,3,3,3,3
014-004,2,1,1,2
014-005,3,2,2,3
015-001,2,2,2,3
015-002,3,3,2,3
015-003,1,1,1,1
015-004,3,3,3,3
015-005,1,3,2,2
015-006,2,2,2,2
015-007,2,2,2,3
015-008,3,3,2,3
015-009,1,1,1,1
015-010,2,2,2,2
015-011,2,2,2,3
015-012,3,3,3,3
015-013,3,2,3,3
015-014,2,2,2,3
015-015,3,3,3,3
015-016,3,3,3,3
015-017,2,2,2,3
015-018,2,1,2,2
015-019,3,3,3,3
015-020,1,1,2,2
015-021,2,3,3,3
015-022,2,2,2,3
015-023,2,2,3,3
015-024,2,2,2,3
015-025,3,2,3,3
016-001,3,3,3,3
016-002,2,3,3,3
016-003,3,2,3,3
016-004,3,3,3,3
016-005,1,2,2,3
016-006,2,2,2,3
016-007,2,2,3,3
016-008,3,2,3,3
016-009,2,2,2,3
016-010,3,2,3,3
016-011,3,3,3,3
016-012,2,2,2,3
016-013,2,2,2,3
016-014,1,1,1,1
017-001,3,3,3,3
017-002,1,1,2,1
018-001,3,3,3,3
018-002,2,2,2,2
019-001,2,2,3,3
019-002,2,2,2,3
019-003,3,3,3,3
020-001,2,2,2,3
020-002,3,3,3,3
020-003,2,2,3,3
020-004,3,3,3,3
020-005,2,2,3,3
020-006,1,1,1,1
020-007,2,2,2,2
020-008,3,3,3,3
020-009,3,3,3,3
020-010,3,3,3,3
020-011,3,2,3,3
021-001,3,3,3,2
021-002,1,2,2,2
021-003,2,2,2,2
021-004,3,3,3,3
022-001,3,3,2,2
022-002,1,1,2,2
023-001,2,2,2,2
023-002,3,2,3,2
023-003,2,1,2,2
024-001,3,3,2,2
024-002,3,3,2,2
024-003,1,1,2,2
024-004,1,1,1,1
024-005,1,1,1,1
025-001,1,1,1,1
025-002,2,2,2,2
025-003,2,2,2,2
025-004,2,2,2,2
025-005,2,2,2,2
025-006,3,2,3,3
025-007,3,3,3,3
025-008,2,2,2,3
025-009,3,2,3,3
025-010,3,2,3,3
025-011,3,3,3,3
025-012,3,3,3,3
025-013,3,3,3,3
025-014,3,2,3,3
025-015,3,2,3,3
025-016,3,2,3,3
025-017,3,3,3,3
025-018,3,3,3,3
026-001,3,3,3,3
026-002,2,2,3,3
026-003,3,2,3,3
026-004,3,3,3,3
026-005,3,3,3,3
026-006,3,3,3,3
026-007,3,2,3,3
026-008,3,2,2,2
026-009,1,1,1,1
026-010,2,2,2,2
026-011,3,3,3,3
026-012,3,3,3,3
026-013,3,3,3,3
026-014,3,3,3,3
026-015,2,2,2,3
026-016,2,2,2,2
026-017,3,3,3,3
026-018,2,2,2,3
026-019,2,2,2,3
026-020,3,3,3,3
026-021,3,2,3,3
026-022,3,3,3,3
026-023,3,2,3,3
026-024,2,1,2,2
026-025,2,2,2,2
026-026,2,2,2,2
026-027,2,2,2,2
026-028,3,3,3,3
026-029,1,1,1,1
026-030,3,3,3,3
026-031,3,3,3,3
026-032,2,2,2,3
026-033,2,2,2,2
027-001,1,1,2,1
027-002,3,3,2,3
027-003,3,3,2,3
027-004,3,3,3,3
027-005,1,1,1,1
027-006,1,1,1,1
027-007,2,2,2,3
027-008,1,1,1,1
027-009,2,2,2,2
027-010,3,3,3,3
027-011,1,1,2,1
027-012,3,3,3,3
027-013,2,1,1,1
027-014,1,1,1,1
027-015,2,1,2,2
027-016,3,3,3,3
027-017,2,2,2,2
027-018,1,1,1,2
027-019,3,3,3,3
027-020,1,1,1,1
027-021,1,1,1,1
027-022,1,1,1,1
027-023,3,3,3,3
027-024,3,3,3,3
027-025,2,2,2,2
027-026,2,2,2,2
027-027,1,2,1,2
027-028,2,2,2,2
027-029,3,3,3,3
027-030,2,2,2,2
027-031,2,1,1,1
027-032,1,1,1,1
027-033,1,1,1,1
027-034,2,2,2,3
027-035,1,1,1,1
027-036,3,3,3,3
027-037,3,3,3,2
027-038,2,2,2,2
027-039,3,3,2,2
027-040,1,1,2,2
027-041,1,1,1,1
027-042,1,1,1,2
027-043,3,3,2,2
027-044,1,1,2,2
027-045,1,1,1,1
027-046,1,3,2,2
027-047,3,3,2,2
027-048,2,3,2,2
027-049,1,1,1,1
027-050,1,2,2,2
027-051,3,3,2,3
027-052,1,1,1,1
027-053,2,2,2,3
027-054,3,2,3,3
027-055,3,3,3,3
027-056,3,3,3,3
027-057,2,2,1,2
027-058,3,3,3,3
027-059,3,2,2,2
027-060,2,2,1,2
027-061,3,3,3,3
027-062,1,1,1,2
027-063,1,1,1,2
027-064,1,1,1,2
027-065,1,1,1,1
027-066,1,1,1,1
027-067,1,1,1,1
028-001,2,2,3,3
028-002,1,1,1,1
028-003,3,3,3,3
028-004,3,3,3,3
028-005,2,2,2,2
028-006,1,1,1,1
028-007,2,2,3,3
028-008,2,2,2,2
028-009,2,2,2,2
028-010,1,1,1,1
028-011,1,1,1,1
028-012,2,2,2,2
028-013,1,2,1,2
028-014,3,3,3,3
028-015,1,1,1,2
